Ano,Area_ha,Producao_t,Produtividade_kg_ha
2015,32000000,96600000,3019
2016,33300000,95500000,2868
2017,33900000,114000000,3363
2018,34771690,117887672,3390
2019,35800000,120900000,3377
2020,37000000,124800000,3373
2021,38600000,135900000,3521
2022,41000000,124000000,3024
2023,44447552,152144238,3423
2024,46200000,144500000,3128
